Country,1913,1950,1973,1990,1998
Afghanistan,5 730,8 150,13 421,14 767,24 792
Albania,898,1 227,2 318,3 273,3 331
Algeria,,8 893,15 198,25 352,30 481
Angola,,4 118,6 028,8 430,10 865
Antigua & Barbuda,,46,68,63,64
Argentina,7 653,17 150,25 174,32 634,36 265
Armenia,,1 355,2 697,3 335,3 795
Australia,4 821,8 177,13 505,17 085,18 751
Austria,6 767,6 935,7 586,7 729,8 078
Azerbaijan,,2 900,5 468,7 134,7 666
Bahamas,,70,182,251,180
Bahrain,104,115,239,502,616
Barbados,,211,243,255,259
Belarus,,7 755,9 235,10 260,10 239
Belgium,7 666,8 640,9 738,9 971,10 197
Belize,,66,130,190,230
Benin,,1 673,2 836,4 676,6 101
Bermuda,,39,53,58,62
Bolivia,1 881,2 766,4 680,6 620,7 826
Bosnia,,,,4 360,3 366
Botswana,,430,643,1 304,1 448
Brazil,23 660,53 443,103 463,151 040,169 807
Bulgaria,4 794,7 251,8 621,8 966,8 240
Burkina Faso,,4 376,5 947,9 024,11 266
Burma,12 326,19 488,29 227,41 068,47 305
Burundi,,2 363,3 529,5 285,5 537
Cambodia,3 070,4 163,7 202,8 717,11 340
Cameroon,,4 888,7 179,11 894,15 029
Canada,7 852,13 737,22 560,27 701,30 297
Cape Verde,,146,277,349,400
Central African Rep.,,1 260,1 945,2 798,3 376
Chad,,2 608,3 995,5 889,7 360
Chile,3 491,6 091,9 897,13 128,14 788
China,437 140,546 815,881 940,1 135 185,1 242 700
Colombia,5 195,11 592,23 069,32 985,38 581
Comoros,,148,257,429,546
Congo,,768,1 279,2 206,2 658
Costa Rica,372,867,1 886,3 022,3 605
Croatia,,,,4 754,4 672
Cuba,2 469,5 785,9 001,10 545,11 051
"Czechoslovakia
a) Czech Republic",13 245,12 389,14 550,10 310,10 286
Côte d'Ivoire,,2 860,6 352,11 904,15 446
Denmark,2 983,4 269,5 022,5 138,5 303
Djibouti,,60,189,370,441
Dominica,,51,74,72,66
Dominican Republic,750,2 312,4 781,6 997,7 999
Ecuador,1 689,3 310,6 629,10 308,12 337
Egypt,12 144,21 198,35 480,56 106,66 050
El Salvador,1 008,1 940,3 853,5 041,5 752
Estonia,,1 115,1 411,1 582,1 450
Ethiopia and Eritrea,,21 577,34 028,50 960,62 232
Finland,3 027,4 009,4 666,4 986,5 153
Former Yugoslavia,13 590,15 949,20 416,22 819,22 545
Former Yugoslavia,,,,22 819,22 545
France,41 463,41 836,52 118,56 735,58 805
Gabon,,416,557,1 078,1 208
Gambia,,305,546,964,1 292
Georgia,,3 261,4 857,5 460,5 442
Germany,65 058,68 371,78 956,79 364,82 029
Ghana,2 043,5 297,9 583,15 190,18 497
Greece,5 425,7 566,8 929,10 161,10 511
Grenada,,76,97,94,96
Guadeloupe,,208,329,378,416
Guatemala,1 486,2 969,5 801,9 631,12 008
Guinea,,2 586,3 786,5 936,7 477
Guinea Bissau,,573,633,998,1 206
Guyana,,428,755,748,708
Guyana (Fr.),,26,53,116,163
Haiti,1 891,3 097,4 748,6 048,6 781
Honduras,660,1 431,2 964,4 740,5 862
Hong Kong,487,2 237,4 213,5 704,6 690
Hungary,7 840,9 338,10 426,10 352,10 208
Indiaa,303 700,359 000,580 000,839 000,975 000
Indonesia,49 934,79 043,124 271,179 248,204 390
Iran,10 994,16 357,31 491,55 717,64 411
Iraq,2 613,5 163,10 402,18 135,21 722
Ireland,,2 969,3 073,3 506,3 705
Israel,700,1 286,3 197,4 512,5 644
Italy,37 248,47 105,54 751,56 719,57 592
Jamaica,837,1 385,2 036,2 466,2 635
Japan,51 672,83 563,108 660,123 540,126 486
Jordan,348,561,1 674,3 277,4 453
Kazakhstan,,6 711,13 812,16 742,15 567
Kenya,,6 121,12 594,23 674,28 337
Kuwait,,145,894,2 131,1 913
Kyrgyzstan,,1 742,3 182,4 395,4 699
Laos,1 387,1 886,3 027,4 191,5 261
Latvia,,1 951,2 442,2 684,2 449
Lebanon,649,1 364,2 824,3 130,3 506
Lesotho,,726,1 142,1 744,2 090
Liberia,,824,1 528,2 265,2 772
Lithuania,,2 570,3 247,3 726,3 703
Macedonia,,,,2 031,2 009
Madagascar,,4 620,7 250,11 525,14 463
Malawi,,2 817,4 865,9 139,9 840
Malaysia,3 084,6 434,11 712,17 507,20 933
Mali,,3 688,5 909,8 231,10 109
Martinique,,217,332,374,407
Mauritania,,1 006,1 356,1 979,2 511
Mauritius,,481,861,1 074,1 168
Mexico,14 970,28 485,57 643,84 748,98 553
Moldova,,2 344,3 743,4 365,3 649
Mongolia,725,779,1 360,2 216,2 579
Morocco,4 500,9 343,16 998,24 685,29 114
Mozambique,,6 250,10 088,14 056,18 641
Namibia,,464,831,1 409,1 622
Nepal,5 639,8 990,12 685,19 333,23 698
Neth. Antilles,,159,225,253,274
Netherlands,6 164,10 114,13 438,14 947,15 700
New Zealand,1 122,1 909,2 971,3 380,3 811
Nicaragua,578,1 098,2 241,3 591,4 583
Niger,,2 482,4 559,7 644,9 672
Nigeria,,31 797,53 121,86 530,110 532
North Korea,,9 471,15 161,20 019,21 234
Norway,2 447,3 265,3 961,4 241,4 432
Oman,421,489,857,1 773,2 364
Pakistan,,39 448,71 121,113 914,135 135
Panama,348,893,1 659,2 388,2 736
Paraguay,594,1 476,2 692,4 236,5 291
Peru,4 339,7 633,14 350,21 989,26 111
Philippines,9 384,21 131,42 094,65 037,77 726
Poland,26 710,24 824,33 331,38 109,38 607
Portugal,6 004,8 512,8 634,9 899,9 968
Puerto Rico,1 181,2 218,2 863,3 537,3 860
Qatar,,25,142,482,697
Reunion,,244,469,600,705
Romania,12 527,16 311,20 828,22 775,22 396
Russian Federation,,102 317,132 651,148 290,146 909
Rwanda,,2 439,4 110,7 161,7 956
Saudi Arabia,2 800,3 860,6 667,15 871,20 786
Senegal,,2 654,4 727,7 408,9 723
Serbia–Montenegro,,,,9 705,10 526
Seychelles,,33,58,73,79
Sierra Leone,,2 087,2 925,4 283,5 080
Singapore,323,1 022,2 193,3 039,3 490
Slovenia,,,,1 968,1 972
Somalia,,2 438,3 932,6 675,6 842
South Africa,6 153,13 596,24 549,37 191,42 835
South Koreab,16 070,20 846,34 073,42 869,46 430
Spain,20 263,27 868,34 810,38 851,39 371
Sri Lanka,4 817,7 533,13 246,17 193,18 934
St. Kitts Nevis,,44,45,40,42
St. Lucia,,79,109,140,152
St. Vincent,,66,90,113,120
Sudan,,8 051,15 113,26 628,33 551
Suriname,,208,384,396,428
Swaziland,,277,493,840,966
Sweden,5 621,7 015,8 137,8 566,8 851
Switzerland,3 864,4 694,6 441,6 796,7 130
Syria,1 994,3 495,6 931,12 620,16 673
Taiwan,3 469,7 882,15 427,20 230,21 780
Tajikistan,,1 534,3 235,5 303,6 115
Tanzania,,8 909,15 321,24 886,30 609
Thailand,8 689,20 042,40 302,55 052,60 037
Togo,,1 172,2 133,3 680,4 906
Trinidad & Tobago,352,632,985,1 198,1 117
Tunisia,,3 517,5 426,8 207,9 380
Turkey,15 000,21 122,38 503,56 125,64 568
Turkmenistan,,1 222,2 395,3 668,4 838
UAE,,72,391,1 952,2 303
Uganda,,5 522,10 386,17 227,22 167
Ukraine,,36 951,48 280,51 891,50 295
United Kingdom,45 649,50 363,56 223,57 561,59 237
United States,97 606,152 271,211 909,249 984,270 561
Uruguay,1 177,2 194,2 834,3 106,3 285
Uzbekistan,,6 322,13 093,20 515,24 050
Venezuela,2 874,5 009,11 893,19 325,22 803
Vietnam,18 638,25 348,45 737,66 315,76 236
West Bank+Gaza,,1 016,1 098,1 715,2 611
Yemen,3 284,4 461,7 077,12 023,16 388
Zaire,,13 569,23 186,37 978,49 001
Zambia,,2 553,4 625,7 957,9 461
Zimbabwe,,2 853,6 041,9 958,11 044
b) Slovakia,,,,5 263,5 393
